month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
1996-09,1996-09-02,812.942,813.567,803.128,804.778,362917600,1.2425786987218834,179.16552831247793,70000,144188.47554425936
1996-10,1996-10-03,887.852,891.705,864.672,865.486,585527500,1.1554201916611013,180.32094850413904,71000,156065.2564370533
1996-11,1996-11-01,935.169,962.107,906.955,930.789,797474700,1.0743573462943803,181.39530585043343,72000,168840.75533721907
1996-12,1996-12-02,1056.675,1134.903,1056.675,1134.523,2041152800,0.881427701333512,182.27673355176694,73000,206797.14657935128
1997-01,1997-01-02,914.06,920.193,909.464,919.435,265303700,1.0876244650247164,183.36435801679164,74000,168591.60851316882
1997-02,1997-02-17,969.531,985.207,959.749,982.404,361696600,1.0179111648568206,184.38226918164847,75000,181137.87877312818
1997-03,1997-03-03,1044.613,1063.045,1043.927,1063.045,900594500,0.940693949926861,185.32296313157534,76000,197006.64934220552
1997-04,1997-04-01,1243.873,1246.31,1234.246,1241.028,836788800,0.8057835923121799,186.1287467238875,77000,230990.98628925267
1997-05,1997-05-05,1398.141,1448.99,1398.048,1448.926,1028834700,0.6901663715055152,186.81891309539301,78000,270686.7804756554
1997-06,1997-06-02,1302.82,1336.424,1302.162,1336.283,634405900,0.7483444749353244,187.56725757032834,79000,250642.93764785104
1997-07,1997-07-02,1255.909,1261.571,1147.331,1199.061,392386100,0.8339859273214625,188.4012434976498,80000,225904.58342953544
1997-08,1997-08-01,1191.651,1194.031,1182.223,1192.828,328647800,0.8383438349871063,189.23958733263692,81000,225730.2784788146
1997-09,1997-09-01,1224.177,1230.066,1219.101,1229.865,679821600,0.8130973724758408,190.05268470511277,82000,233739.14507485353
1997-10,1997-10-06,1100.7,1105.411,1091.152,1098.903,156593300,0.9099984257027235,190.9626831308155,83000,209849.46538050254
1997-11,1997-11-03,1181.162,1185.069,1176.547,1180.854,256218200,0.8468447411788417,191.80952787199433,84000,226499.048225756
1997-12,1997-12-01,1137.588,1139.293,1130.449,1133.087,231287500,0.8825447648768364,192.69207263687116,85000,218336.88250789442
1998-01,1998-01-05,1200.948,1220.495,1200.222,1220.473,437153200,0.8193544633924716,193.51142710026363,86000,236175.47196734004
1998-02,1998-02-09,1257.995,1262.623,1244.426,1248.04,435858400,0.8012563699881414,194.31268347025178,87000,242510.00147821303
1998-03,1998-03-02,1196.742,1205.746,1182.612,1188.306,484315500,0.8415340829718945,195.15421755322367,88000,231902.92764380103
1998-04,1998-04-01,1243.373,1255.01,1240.058,1254.965,622217400,0.7968349714932289,195.9510525247169,89000,245911.71263168135
1998-05,1998-05-04,1353.056,1355.516,1345.359,1352.926,1103649100,0.7391387259909263,196.69019125070784,90000,266107.27368805517
1998-06,1998-06-01,1418.354,1420.553,1411.061,1415.575,983990100,0.7064267170584392,197.39661796776628,91000,279429.71747972077
1998-07,1998-07-01,1363.265,1367.147,1315.184,1316.441,555041600,0.7596238646471812,198.15624183241346,92000,260861.00115410422
1998-08,1998-08-03,1315.135,1315.47,1299.927,1302.102,462257500,0.7679889901098378,198.9242308225233,93000,259019.63880246924
1998-09,1998-09-01,1142.5,1163.171,1123.635,1143.125,562208900,0.8747949699289229,199.79902579245223,94000,228395.26135899694
1998-10,1998-10-05,1245.737,1246.603,1231.4,1234.779,450409500,0.8098615217783911,200.60888731423063,95000,247707.6412689784
1998-11,1998-11-02,1217.338,1223.531,1210.846,1223.478,434854200,0.8173420363913367,201.42622935062195,96000,246440.56023344025
1998-12,1998-12-01,1249.007,1251.868,1231.996,1234.358,387952700,0.81013773961849,202.23636709024044,97000,249632.077608775
1999-01,1999-01-04,1144.888,1144.889,1124.213,1125.819,233951700,0.8882422485319577,203.1246093387724,98000,228681.5445611674
1999-02,1999-02-01,1131.651,1131.66,1118.548,1120.531,508415200,0.8924340335073283,204.01704337227972,99000,228607.42162698394
1999-03,1999-03-01,1092.145,1098.36,1084.156,1097.975,288540700,0.9107675493522167,204.92781092163193,100000,225005.6131966788
1999-04,1999-04-01,1158.681,1168.528,1158.442,1168.504,620212400,0.8557951021134717,205.7836060237454,101000,240458.96677317057
1999-05,1999-05-04,1120.908,1121.91,1108.893,1111.757,408896600,0.8994771339420394,206.68308315768743,102000,229781.36448214113
1999-06,1999-06-01,1283.3,1311.601,1276.116,1311.594,1722944900,0.7624310571716553,207.4455142148591,103000,272084.2917711239
1999-07,1999-07-01,1678.838,1678.838,1540.034,1560.787,3126123000,0.6407024148714718,208.08621662973056,104000,324778.2617948673
1999-08,1999-08-02,1607.062,1622.383,1603.369,1616.276,1165873700,0.6187062110679117,208.70492284079847,105000,337324.7578694344
1999-09,1999-09-01,1627.821,1629.076,1595.963,1599.552,685913700,0.6251750490137239,209.3300978898122,106000,334834.37673984485
1999-10,1999-10-08,1568.238,1568.375,1531.799,1534.515,331275400,0.6516717008305556,209.98176959064276,107000,322220.17516338517
1999-11,1999-11-01,1501.735,1506.994,1488.234,1493.096,619149400,0.6697492994422328,210.651518890085,108000,314522.94024871034
1999-12,1999-12-01,1434.978,1447.682,1432.946,1447.116,497560200,0.6910296064724597,211.34254849655744,109000,305837.18341014424
2000-01,2000-01-04,1368.693,1407.518,1361.214,1406.371,903402300,0.7110499292149794,212.0535984257724,110000,298226.03127165197
2000-02,2000-02-14,1591.445,1674.132,1587.818,1673.943,4358082000,0.5973919064149735,212.65099033218738,111000,355965.6367096327
2000-03,2000-03-01,1720.597,1721.14,1692.509,1697.744,2248835500,0.5890169542640116,213.2400072864514,112000,362026.9429305291
2000-04,2000-04-03,1799.575,1816.86,1798.254,1801.003,1886111200,0.5552461600563686,213.79525344650776,113000,385045.8928429208
2000-05,2000-05-08,1848.173,1852.903,1828.097,1836.637,895912400,0.5444734043798529,214.33972685088762,114000,393664.27290423366
2000-06,2000-06-01,1900.533,1906.817,1889.995,1903.488,1465458300,0.5253513549862148,214.86507820587383,115000,408993.09798394237
2000-07,2000-07-03,1917.442,1917.447,1890.528,1895.637,1578473600,0.5275271584169332,215.39260536429077,116000,408306.1922549481
2000-08,2000-08-01,2027.013,2031.925,2023.453,2028.151,902065500,0.49305993488650496,215.88566529917728,117000,437848.7279621917
2000-09,2000-09-01,2009.151,2026.351,1997.717,1999.859,931539000,0.5000352524853002,216.38570055166258,118000,432740.89071954734
2000-10,2000-10-09,1912.076,1915.495,1897.238,1915.35,516677600,0.522097788915864,216.90779834057844,119000,415454.35155162687
2000-11,2000-11-01,1961.081,1977.373,1959.721,1977.363,850194000,0.5057240375186549,217.4135223780971,120000,429905.4548501212
2000-12,2000-12-01,2073.089,2082.028,2071.495,2081.843,1228528600,0.4803436186110096,217.89386599670812,121000,453620.8196681848
2001-01,2001-01-02,2077.076,2103.538,2074.882,2103.469,1865074600,0.475405152155796,218.3692711488639,122000,459332.9924142296
2001-02,2001-02-05,2069.856,2072.547,2005.683,2008.032,897424300,0.49800003187200204,218.8672711807359,123000,439492.48428359546
2001-03,2001-03-01,1959.009,1968.357,1953.721,1965.121,1166736900,0.5088745171416925,219.3761456978776,124000,431100.67080995895
2001-04,2001-04-02,2117.45,2126.967,2114.778,2125.084,2373835600,0.47056963395329315,219.8467153318309,125000,467192.73720422847
2001-05,2001-05-08,2119.898,2138.038,2119.894,2137.994,848036700,0.4677281601351547,220.31444349196605,126000,471030.9582991625
2001-06,2001-06-01,2216.56,2223.264,2212.16,2219.591,1780580700,0.4505334541363702,220.76497694610242,127000,490007.9559447764
2001-07,2001-07-02,2220.419,2223.207,2201.586,2205.985,1208340700,0.45331223920380237,221.21828918530622,128000,488004.22766844777
2001-08,2001-08-01,1925.24,1986.94,1925.24,1986.93,743892696,0.5032889935729995,221.7215781788792,129000,440545.2553309605
2001-09,2001-09-03,1831.703,1831.796,1813.367,1817.19,375756500,0.5503001887529647,222.27187836763218,130000,403910.23465087754
2001-10,2001-10-08,1766.133,1773.798,1723.04,1726.533,271852300,0.5791954164791522,222.85107378411135,131000,384759.7329737031
2001-11,2001-11-01,1692.351,1717.736,1688.095,1707.754,631984900,0.5855644314110815,223.43663821552244,132000,381574.8126591113
2001-12,2001-12-03,1751.051,1767.438,1750.916,1762.562,863915800,0.5673559284723034,224.00399414399473,133000,394820.9279264276
